#{"t_start": 1758103160.906848, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,20.801076
-200.0,200,20.864861
-200.0,200,20.924747
-200.0,200,20.996942
-200.0,200,21.062116
-200.0,200,21.132111
-200.0,200,21.193025
-200.0,200,21.259932
-200.0,200,21.32314
-200.0,200,21.383608
-200.0,200,21.440534
-200.0,200,21.501343
-200.0,200,21.555664
-200.0,200,21.614006
-200.0,200,21.670006
-200.0,200,21.732426
-200.0,200,21.787842
-200.0,200,21.845521
-200.0,200,21.899691
-200.0,200,21.959271
-200.0,200,22.013211
-200.0,200,22.070951
-200.0,200,22.125917
-200.0,200,22.187497
-200.0,200,22.242091
-200.0,200,22.299694
-200.0,200,22.354536
-200.0,200,22.414756
-200.0,200,22.476056
-200.0,200,22.548023
-200.0,200,22.610028
-200.0,200,22.672512
-200.0,200,22.729316
-200.0,200,22.787078
-200.0,200,22.841812
-200.0,200,22.904964
-200.0,200,22.958054
-200.0,200,23.014705
-200.0,200,23.088735
-200.0,200,23.187015
-200.0,200,23.272279
-200.0,200,23.335169
-200.0,200,23.392279
-200.0,200,23.456796
-200.0,200,23.515969
-200.0,200,23.575078
-200.0,200,23.629009
-200.0,200,23.687603
-200.0,200,23.740949
-200.0,200,23.79793
-200.0,200,23.85131
-200.0,200,23.909299
-200.0,200,23.962874
-200.0,200,24.026141
-200.0,200,24.084765
-200.0,200,24.144248
-200.0,200,24.197908
-200.0,200,24.254612
-200.0,200,24.307834
-200.0,200,24.366117
-200.0,200,24.419383
-200.0,200,24.475995
-200.0,200,24.529275
-200.0,200,24.588198
-200.0,200,24.648017
-200.0,200,24.716682
-200.0,200,24.777972
-200.0,200,24.842511
-200.0,200,24.900589
-200.0,200,24.962275
-200.0,200,25.017989
-200.0,200,25.077929
-200.0,200,25.13263
-200.0,200,25.191049
-200.0,200,25.244244
-200.0,200,25.303117
-200.0,200,25.360556
-200.0,200,25.423124
-200.0,200,25.480629
-200.0,200,25.543611
-200.0,200,25.601469
-200.0,200,25.659644
-200.0,200,25.715369
-200.0,200,25.778323
-200.0,200,25.833453
-200.0,200,25.891863
-200.0,200,25.945767
-200.0,200,26.00486
-200.0,200,26.058282
-200.0,200,26.115417
-200.0,200,26.170707
-200.0,200,26.229117
-200.0,200,26.28286
-200.0,200,26.339687
-200.0,200,26.393015
-200.0,200,26.451472
-200.0,200,26.504775
-200.0,200,26.562716
-200.0,200,26.619345
-200.0,200,26.679534
-200.0,200,26.733982
-200.0,200,26.792345
-200.0,200,26.845531
-200.0,200,26.906286
-196.0,196,26.961682
-200.0,200,27.019046
-200.0,200,27.072358
-200.0,200,27.130347
-200.0,200,27.183584
-200.0,200,27.24001
-200.0,200,27.293227
-200.0,200,27.350922
-200.0,200,27.406856
-200.0,200,27.468383
-200.0,200,27.526992
-200.0,200,27.593179
-200.0,200,27.646861
-200.0,200,27.703792
-200.0,200,27.757727
-200.0,200,27.816224
-200.0,200,27.869402
-200.0,200,27.925579
-200.0,200,27.978857
-200.0,200,28.037155
-200.0,200,28.090275
-200.0,200,28.147034
-200.0,200,28.199929
-200.0,200,28.258073
-200.0,200,28.311321
-200.0,200,28.367605
-200.0,200,28.420453
-144.0,144,28.461445
-200.0,200,28.517787
-200.0,200,28.570954
-200.0,200,28.627617
-200.0,200,28.682821
-200.0,200,28.740107
-200.0,200,28.793282
-200.0,200,28.849503
-200.0,200,28.906277
-200.0,200,28.969247
-200.0,200,29.024151
-200.0,200,29.08302
-200.0,200,29.140162
-200.0,200,29.199441
-200.0,200,29.252869
-200.0,200,29.309617
-200.0,200,29.364007
-200.0,200,29.420226
-200.0,200,29.473272
-200.0,200,29.529601
-200.0,200,29.586084
-200.0,200,29.643068
-200.0,200,29.695983
-200.0,200,29.752505
-200.0,200,29.807535
-200.0,200,29.863725
-200.0,200,29.916656
-200.0,200,29.973221
-200.0,200,30.027793
-200.0,200,30.084225
-200.0,200,30.137436
-200.0,200,30.194024
-200.0,200,30.248748
-200.0,200,30.305631
-200.0,200,30.360209
-200.0,200,30.41746
-200.0,200,30.47326
-200.0,200,30.529508
-200.0,200,30.582762
-200.0,200,30.639595
-200.0,200,30.694316
-200.0,200,30.750574
-200.0,200,30.803934
-200.0,200,30.860406
-200.0,200,30.914689
-200.0,200,30.971302
-200.0,200,31.024337
-200.0,200,31.08073
-200.0,200,31.13552
-200.0,200,31.193023
-200.0,200,31.250306
-200.0,200,31.308215
-200.0,200,31.365906
-200.0,200,31.424966
-186.0,186,31.475256
-200.0,200,31.53392
-200.0,200,31.592071
-200.0,200,31.650231
-200.0,200,31.705355
-200.0,200,31.766387
-168.0,168,31.813839
-200.0,200,31.870316
-200.0,200,31.923414
-200.0,200,31.980077
-200.0,200,32.035529
-200.0,200,32.097119
-200.0,200,32.157948
-169.0,169,32.212899
-200.0,200,32.273469
-200.0,200,32.335497
-200.0,200,32.394375
-200.0,200,32.454994
-200.0,200,32.512161
-200.0,200,32.579789
-200.0,200,32.641049
-200.0,200,32.706598
-200.0,200,32.764685
-200.0,200,32.825001
-200.0,200,32.881861
-200.0,200,32.94114
-200.0,200,32.996946
-200.0,200,33.057996
-200.0,200,33.113447
-200.0,200,33.170488
-200.0,200,33.22991
-200.0,200,33.290079
-200.0,200,33.345211
-200.0,200,33.4037
-200.0,200,33.458724
-200.0,200,33.515638
-200.0,200,33.569124
-200.0,200,33.625748
-200.0,200,33.686392
-200.0,200,33.743963
-200.0,200,33.797712
-200.0,200,33.8543
-200.0,200,33.909839
-200.0,200,33.967084
-200.0,200,34.022891
-200.0,200,34.084152
-200.0,200,34.139289
-200.0,200,34.196508
-200.0,200,34.250373
-200.0,200,34.306653
-200.0,200,34.361478
-200.0,200,34.417943
-200.0,200,34.47244
-200.0,200,34.531626
-200.0,200,34.586338
-143.0,143,34.626808
-200.0,200,34.683789
-200.0,200,34.737213
-200.0,200,34.794932
-200.0,200,34.852758
-200.0,200,34.911058
-200.0,200,34.964734
-200.0,200,35.022713
-200.0,200,35.076095
-194.0,194,35.128691
-200.0,200,35.184873
-200.0,200,35.240423
-200.0,200,35.297611
-200.0,200,35.350869
-200.0,200,35.407207
-200.0,200,35.462253
-200.0,200,35.518632
-200.0,200,35.572097
-200.0,200,35.628731
-200.0,200,35.683576
-200.0,200,35.740417
-200.0,200,35.794045
-200.0,200,35.850486
-200.0,200,35.905651
-200.0,200,35.962516
-200.0,200,36.015824
-200.0,200,36.077812
-200.0,200,36.132831
-200.0,200,36.189309
-200.0,200,36.242252
-200.0,200,36.299033
-200.0,200,36.353418
-200.0,200,36.409525
-200.0,200,36.463048
-200.0,200,36.519584
-200.0,200,36.576836
-200.0,200,36.637441
-200.0,200,36.695885
-200.0,200,36.760081
-200.0,200,36.823256
-130.0,130,36.866936
-141.0,141,36.907617
-200.0,200,36.971737
-153.0,153,37.018635
-200.0,200,37.08632
-200.0,200,37.174291
-200.0,200,37.264606
-200.0,200,37.365747
-200.0,200,37.439718
-160.0,160,37.493509
-200.0,200,37.560632
-200.0,200,37.629877
-131.0,131,37.679703
-200.0,200,37.740148
-200.0,200,37.798893
-200.0,200,37.86201
-200.0,200,37.918393
-97.0,97,37.946315
-200.0,200,38.005822
-189.0,189,38.062476
-200.0,200,38.116797
-200.0,200,38.175006
-160.0,160,38.221751
-200.0,200,38.280836
-200.0,200,38.339177
-193.0,193,38.393463
-200.0,200,38.449798
-200.0,200,38.516213
-200.0,200,38.576088
-200.0,200,38.635437
-200.0,200,38.689935
-200.0,200,38.753781
-200.0,200,38.812867
-200.0,200,38.874129
-142.0,142,38.911433
-200.0,200,38.971911
-200.0,200,39.026331
-200.0,200,39.085154
-200.0,200,39.14814
-200.0,200,39.212706
-200.0,200,39.269836
-142.0,142,39.310352
-200.0,200,39.368217
-170.0,170,39.416348
-200.0,200,39.475432
-200.0,200,39.530014
-200.0,200,39.588066
-173.0,173,39.641723
-200.0,200,39.699691
-200.0,200,39.76454
-200.0,200,39.820522
-200.0,200,39.883418
-200.0,200,39.938202
-200.0,200,39.997023
-198.0,198,40.051437
-200.0,200,40.111739
-200.0,200,40.168537
-200.0,200,40.231252
-194.0,194,40.293468
-184.0,184,40.352021
-200.0,200,40.411417
-200.0,200,40.465874
-164.0,164,40.514864
-183.0,183,40.568759
-140.0,140,40.614512
-200.0,200,40.669595
-200.0,200,40.727719
-200.0,200,40.787231
-200.0,200,40.84501
-200.0,200,40.898788
-200.0,200,40.955921
-200.0,200,41.012721
-200.0,200,41.069839
-196.0,196,41.123591
-114.0,114,41.154967
-200.0,200,41.214869
-200.0,200,41.269142
-200.0,200,41.326362
-200.0,200,41.380491
-109.0,109,41.413998
-200.0,200,41.467749
-200.0,200,41.525423
-183.0,183,41.574905
-200.0,200,41.63466
-114.0,114,41.666108
-200.0,200,41.720121
-200.0,200,41.777729
-200.0,200,41.841826
-117.0,117,41.880968
-141.0,141,41.923387
-156.0,156,41.964349
-200.0,200,42.024386
-92.0,92,42.054883
-193.0,193,42.108438
-200.0,200,42.161903
-200.0,200,42.220564
-200.0,200,42.273952
-200.0,200,42.330769
-200.0,200,42.383956
-137.0,137,42.424364
-153.0,153,42.464384
-145.0,145,42.504079
-200.0,200,42.560851
-119.0,119,42.593325
-200.0,200,42.663732
-135.0,135,42.7077
-124.0,124,42.746774
-200.0,200,42.807549
-159.0,159,42.855118
-168.0,168,42.905406
-200.0,200,42.959581
-200.0,200,43.018198
-200.0,200,43.071341
-200.0,200,43.128662
-195.0,195,43.181648
-111.0,111,43.214438
-171.0,171,43.265125
-200.0,200,43.3207
-178.0,178,43.375477
-187.0,187,43.434532
-200.0,200,43.498507
-141.0,141,43.535304
-200.0,200,43.592757
-112.0,112,43.62696
-200.0,200,43.680684
-200.0,200,43.73723
-171.0,171,43.786719
-200.0,200,43.846475
-200.0,200,43.908413
-200.0,200,43.966547
-164.0,164,44.014238
