#{"t_start": 1758191258.9625442, "env_id": "MountainCar-v0"}
r,l,t
-175.0,175,36.291979
-91.0,91,36.31865
-150.0,150,36.358969
-147.0,147,36.402723
-155.0,155,36.447033
-93.0,93,36.473663
-163.0,163,36.520862
-195.0,195,36.58528
-155.0,155,36.630787
-87.0,87,36.653964
-200.0,200,36.711415
-200.0,200,36.767554
-92.0,92,36.794281
-109.0,109,36.825632
-200.0,200,36.897042
-184.0,184,36.962739
-89.0,89,36.987372
-181.0,181,37.041859
-190.0,190,37.093935
-200.0,200,37.156146
-177.0,177,37.20697
-92.0,92,37.234173
-163.0,163,37.280284
-86.0,86,37.308288
-200.0,200,37.367095
-174.0,174,37.417178
-114.0,114,37.449259
-184.0,184,37.502228
-179.0,179,37.555681
-156.0,156,37.597067
-200.0,200,37.656019
-96.0,96,37.7186
-162.0,162,37.78669
-92.0,92,37.825698
-107.0,107,37.858237
-173.0,173,37.917845
-172.0,172,37.973998
-200.0,200,38.031034
-184.0,184,38.086618
-157.0,157,38.138135
-158.0,158,38.186606
-163.0,163,38.233995
-122.0,122,38.267227
-200.0,200,38.332628
-200.0,200,38.389189
-181.0,181,38.448529
-155.0,155,38.497245
-200.0,200,38.575377
-200.0,200,38.63257
-144.0,144,38.673813
-144.0,144,38.715255
-146.0,146,38.763967
-200.0,200,38.81945
-200.0,200,38.877685
-168.0,168,38.923265
-174.0,174,38.975281
-200.0,200,39.029788
-146.0,146,39.073433
-200.0,200,39.127114
-178.0,178,39.178216
-179.0,179,39.227768
-133.0,133,39.267474
-142.0,142,39.308829
-115.0,115,39.352806
-176.0,176,39.420753
-124.0,124,39.457533
-176.0,176,39.510067
-145.0,145,39.56797
-200.0,200,39.634733
-107.0,107,39.670894
-120.0,120,39.704761
-167.0,167,39.757772
-152.0,152,39.799138
-115.0,115,39.830733
-178.0,178,39.880191
-143.0,143,39.92232
-149.0,149,39.966694
-159.0,159,40.011244
-168.0,168,40.056293
-135.0,135,40.098137
-109.0,109,40.126538
-107.0,107,40.157792
-126.0,126,40.193204
-111.0,111,40.22629
-147.0,147,40.268672
-113.0,113,40.300125
-114.0,114,40.334372
-173.0,173,40.387634
-115.0,115,40.420142
-164.0,164,40.468486
-111.0,111,40.49727
-123.0,123,40.53816
-200.0,200,40.598843
-114.0,114,40.632658
-122.0,122,40.665031
-118.0,118,40.705006
-175.0,175,40.75471
-117.0,117,40.786487
-123.0,123,40.822223
-115.0,115,40.858869
-112.0,112,40.890889
-200.0,200,40.944928
-200.0,200,41.00256
-164.0,164,41.050035
-200.0,200,41.108976
-111.0,111,41.142237
-200.0,200,41.198319
-125.0,125,41.235954
-200.0,200,41.290513
-200.0,200,41.34811
-111.0,111,41.381135
-123.0,123,41.421747
-107.0,107,41.452953
-127.0,127,41.49327
-110.0,110,41.529149
-118.0,118,41.56646
-110.0,110,41.602349
-200.0,200,41.668273
-110.0,110,41.704103
-117.0,117,41.743084
-132.0,132,41.785266
-200.0,200,41.848253
-200.0,200,41.904381
-200.0,200,41.965456
-114.0,114,41.996793
-117.0,117,42.028245
-134.0,134,42.067964
-117.0,117,42.101654
-126.0,126,42.137233
-127.0,127,42.172744
-129.0,129,42.20813
-154.0,154,42.250538
-111.0,111,42.281671
-112.0,112,42.314159
-111.0,111,42.347495
-124.0,124,42.386405
-117.0,117,42.418815
-126.0,126,42.454539
-113.0,113,42.486007
-114.0,114,42.519473
-112.0,112,42.551154
-115.0,115,42.590416
-109.0,109,42.618371
-140.0,140,42.66244
-112.0,112,42.694028
-90.0,90,42.722886
-119.0,119,42.755842
-111.0,111,42.789572
-117.0,117,42.821988
-91.0,91,42.848598
-112.0,112,42.879786
-112.0,112,42.913099
-153.0,153,42.957875
-113.0,113,42.98982
-115.0,115,43.020837
-116.0,116,43.054373
-110.0,110,43.08587
-118.0,118,43.117406
-111.0,111,43.14832
-113.0,113,43.181863
-115.0,115,43.21705
-111.0,111,43.248134
-117.0,117,43.28023
-102.0,102,43.310192
-121.0,121,43.347398
-109.0,109,43.378757
-120.0,120,43.410838
-111.0,111,43.44709
-115.0,115,43.479372
-116.0,116,43.511317
-107.0,107,43.542267
-117.0,117,43.575951
-109.0,109,43.607322
-108.0,108,43.638283
-112.0,112,43.669475
-109.0,109,43.703004
-110.0,110,43.734296
-110.0,110,43.765314
-111.0,111,43.796331
-184.0,184,43.848048
-153.0,153,43.892347
-160.0,160,43.937486
-101.0,101,43.965984
-120.0,120,44.000072
-107.0,107,44.035236
-85.0,85,44.058027
-108.0,108,44.088985
-113.0,113,44.122402
-109.0,109,44.153377
-159.0,159,44.198079
-179.0,179,44.2472
-110.0,110,44.281732
-113.0,113,44.313493
-107.0,107,44.344246
-124.0,124,44.379753
-154.0,154,44.422586
-144.0,144,44.462755
-110.0,110,44.493643
-104.0,104,44.524162
-106.0,106,44.553911
-116.0,116,44.585484
-145.0,145,44.625567
-142.0,142,44.665374
-113.0,113,44.698296
-108.0,108,44.729423
-95.0,95,44.75623
-132.0,132,44.791957
-182.0,182,44.846627
-109.0,109,44.87899
-160.0,160,44.92422
-115.0,115,44.955556
-140.0,140,44.994067
-149.0,149,45.037836
-195.0,195,45.091182
-136.0,136,45.126941
-111.0,111,45.162093
-157.0,157,45.20667
-120.0,120,45.242044
-116.0,116,45.273601
-149.0,149,45.316152
-149.0,149,45.36032
-151.0,151,45.414454
-89.0,89,45.514013
-161.0,161,45.577784
-200.0,200,45.639721
-168.0,168,45.703513
-155.0,155,45.749915
-191.0,191,45.816662
-182.0,182,45.871042
-117.0,117,45.905536
-89.0,89,45.933309
-144.0,144,45.977539
-157.0,157,46.020085
-197.0,197,46.079703
-113.0,113,46.11234
-123.0,123,46.149327
-200.0,200,46.213603
-113.0,113,46.249935
-171.0,171,46.344816
-179.0,179,46.399848
-186.0,186,46.451184
-91.0,91,46.478397
-161.0,161,46.523832
-123.0,123,46.5614
-119.0,119,46.593548
-200.0,200,46.654594
-128.0,128,46.692076
-123.0,123,46.729834
-128.0,128,46.766527
-167.0,167,46.812887
-172.0,172,46.862417
-161.0,161,46.911294
-188.0,188,46.965429
-170.0,170,47.011532
-174.0,174,47.060807
-170.0,170,47.114264
-200.0,200,47.169252
-200.0,200,47.227615
-133.0,133,47.264182
-200.0,200,47.321261
-195.0,195,47.379009
-186.0,186,47.42966
-121.0,121,47.465934
-135.0,135,47.513039
-167.0,167,47.567844
-200.0,200,47.629684
-184.0,184,47.684887
-185.0,185,47.737016
-182.0,182,47.791506
-174.0,174,47.841803
-170.0,170,47.888806
-200.0,200,47.955696
-105.0,105,47.98605
-169.0,169,48.039597
-153.0,153,48.083018
-182.0,182,48.140406
-168.0,168,48.186354
-159.0,159,48.232161
-182.0,182,48.28564
-173.0,173,48.334867
-89.0,89,48.362101
-176.0,176,48.412208
-200.0,200,48.466309
-163.0,163,48.516996
-127.0,127,48.553058
-102.0,102,48.582263
-200.0,200,48.637089
-182.0,182,48.693261
-200.0,200,48.748344
-119.0,119,48.783944
-200.0,200,48.838362
-150.0,150,48.884891
-149.0,149,48.926314
-200.0,200,48.98113
-197.0,197,49.039488
-167.0,167,49.088881
-159.0,159,49.134532
-167.0,167,49.183394
-174.0,174,49.231385
-153.0,153,49.278177
-149.0,149,49.31896
-154.0,154,49.363328
-146.0,146,49.404135
-153.0,153,49.451197
-200.0,200,49.506511
-140.0,140,49.546292
-200.0,200,49.601265
-200.0,200,49.661406
-153.0,153,49.703151
-152.0,152,49.747749
-191.0,191,49.801711
-174.0,174,49.852544
-144.0,144,49.892991
-157.0,157,49.937539
-195.0,195,49.993109
-140.0,140,50.033103
-147.0,147,50.076985
-173.0,173,50.122565
-152.0,152,50.166592
-173.0,173,50.217723
-157.0,157,50.262483
-158.0,158,50.304141
-200.0,200,50.362191
-146.0,146,50.40522
-118.0,118,50.43729
-120.0,120,50.473352
-156.0,156,50.518207
-122.0,122,50.552061
-148.0,148,50.59656
-122.0,122,50.628873
-161.0,161,50.674752
-116.0,116,50.712569
-171.0,171,50.758717
-154.0,154,50.803243
-200.0,200,50.858208
-163.0,163,50.911067
-121.0,121,50.943543
-118.0,118,50.975821
-158.0,158,51.023955
-163.0,163,51.077875
-186.0,186,51.13018
-153.0,153,51.179175
-200.0,200,51.234038
-200.0,200,51.29444
-113.0,113,51.328374
-200.0,200,51.385464
-177.0,177,51.438715
-112.0,112,51.474596
-171.0,171,51.526104
-200.0,200,51.584511
-119.0,119,51.616757
-113.0,113,51.650579
-120.0,120,51.686221
-187.0,187,51.735805
-151.0,151,51.788379
-110.0,110,51.846454
-175.0,175,51.906773
-183.0,183,51.970589
-110.0,110,52.002132
-150.0,150,52.045252
-165.0,165,52.090542
-149.0,149,52.134877
-178.0,178,52.184571
-159.0,159,52.232072
-109.0,109,52.263632
-146.0,146,52.304465
-99.0,99,52.331426
-118.0,118,52.365347
-116.0,116,52.400945
-181.0,181,52.450816
-157.0,157,52.496071
-150.0,150,52.538906
-191.0,191,52.592675
-190.0,190,52.646592
-156.0,156,52.691961
-193.0,193,52.750029
-165.0,165,52.795638
-125.0,125,52.831588
-108.0,108,52.863035
-150.0,150,52.906123
-161.0,161,52.95419
-168.0,168,53.003263
-165.0,165,53.049036
-168.0,168,53.096467
-186.0,186,53.150574
-179.0,179,53.199774
-172.0,172,53.249357
-162.0,162,53.296993
-171.0,171,53.346144
-186.0,186,53.395773
-120.0,120,53.431312
-181.0,181,53.483167
-162.0,162,53.528324
-180.0,180,53.581166
-196.0,196,53.635323
-186.0,186,53.689144
-159.0,159,53.733465
-159.0,159,53.777959
-112.0,112,53.809632
-167.0,167,53.860573
-119.0,119,53.892389
-104.0,104,53.923477
-121.0,121,53.955598
-170.0,170,54.006691
-188.0,188,54.06066
-115.0,115,54.095077
-113.0,113,54.128487
-171.0,171,54.182669
-165.0,165,54.249648
-115.0,115,54.311898
-159.0,159,54.380292
-119.0,119,54.420972
-165.0,165,54.4764
-169.0,169,54.524504
-96.0,96,54.552944
-161.0,161,54.604005
-115.0,115,54.641264
-165.0,165,54.68723
-122.0,122,54.720073
-149.0,149,54.767201
-181.0,181,54.817661
-156.0,156,54.862405
-174.0,174,54.91206
-175.0,175,54.965782
-137.0,137,55.005144
-166.0,166,55.056071
-175.0,175,55.106389
-178.0,178,55.159275
-163.0,163,55.205332
-162.0,162,55.250298
-161.0,161,55.295505
-174.0,174,55.350383
-152.0,152,55.408799
-149.0,149,55.467534
-155.0,155,55.515368
-117.0,117,55.560596
-163.0,163,55.618017
-157.0,157,55.66866
-154.0,154,55.712256
-161.0,161,55.762014
-157.0,157,55.809145
-153.0,153,55.854361
-155.0,155,55.89628
-169.0,169,55.947846
-154.0,154,55.995137
-170.0,170,56.040659
-99.0,99,56.06872
-156.0,156,56.115426
-113.0,113,56.14736
-137.0,137,56.186924
-119.0,119,56.218807
-118.0,118,56.261708
-116.0,116,56.299751
-119.0,119,56.343805
-154.0,154,56.405916
-128.0,128,56.451232
-116.0,116,56.486762
-115.0,115,56.524105
-118.0,118,56.56873
-122.0,122,56.611159
-120.0,120,56.655327
-181.0,181,56.714265
-109.0,109,56.749078
-114.0,114,56.786611
-114.0,114,56.823755
-121.0,121,56.862597
-97.0,97,56.889825
